NameVariable;Id;CssSelector;LinkText;XPath;TagName;ClassName;Description;
AccessRightsPage;;;Права доступа;;;;Имя вкладки "Права доступа";
AccessRightsPageUserGr;sunrise-accessRightsPage-AcsSecurityComponent-textGroupsOfUsers;.col-md-4:nth-child(1) .badge";;;;;Группы пользователей на странице "Права доступа";
